INFO 2026-02-10 10:48:02,898 tasks Checking 3 keywords against articles...
INFO 2026-02-10 10:48:02,930 tasks Keyword matching completed. Total new notifications sent: 0
INFO 2026-02-10 10:49:01,831 tasks Starting keyword matching for all keywords...
INFO 2026-02-10 10:49:01,833 tasks Checking 3 keywords against articles...
INFO 2026-02-10 10:49:01,862 tasks Keyword matching completed. Total new notifications sent: 0
INFO 2026-02-10 10:49:02,527 tasks Starting keyword matching for all keywords...
INFO 2026-02-10 10:49:02,529 tasks Checking 3 keywords against articles...
INFO 2026-02-10 10:49:02,555 tasks Keyword matching completed. Total new notifications sent: 0
INFO 2026-02-10 10:49:03,534 tasks Starting keyword matching for all keywords...
INFO 2026-02-10 10:49:03,535 tasks Checking 3 keywords against articles...
INFO 2026-02-10 10:49:03,564 tasks Keyword matching completed. Total new notifications sent: 0
INFO 2026-02-10 10:49:46,453 telegram_bot Bot stopped by user
INFO 2026-02-10 11:07:34,991 telegram_bot Starting Telegram bot polling...
INFO 2026-02-10 11:10:06,178 tasks Dispatching scrape tasks for 1 active sources
INFO 2026-02-10 11:10:08,258 tasks Scraping source: Lent.az (https://lent.az/)
INFO 2026-02-10 11:10:08,372 jina_scraper Scraping homepage for article links: https://lent.az/
INFO 2026-02-10 11:10:08,372 jina_scraper Scraping URL via Jina AI: https://lent.az/
INFO 2026-02-10 11:10:16,141 jina_scraper Found 17 article URLs on https://lent.az/
INFO 2026-02-10 11:10:16,141 jina_scraper Scraping article 1/17: https://lent.az/storage/news/2026/february/10/big/698ac4120f2d9698ac4120f2da1770701842698ac4120f2d7698ac4120f2d8.webp
INFO 2026-02-10 11:10:16,142 jina_scraper Scraping URL via Jina AI: https://lent.az/storage/news/2026/february/10/big/698ac4120f2d9698ac4120f2da1770701842698ac4120f2d7698ac4120f2d8.webp
INFO 2026-02-10 11:10:19,398 jina_scraper Scraping article 2/17: https://lent.az/storage/news/2026/february/10/small/698ac4120f2d9698ac4120f2da1770701842698ac4120f2d7698ac4120f2d8.webp
INFO 2026-02-10 11:10:19,399 jina_scraper Scraping URL via Jina AI: https://lent.az/storage/news/2026/february/10/small/698ac4120f2d9698ac4120f2da1770701842698ac4120f2d7698ac4120f2d8.webp
INFO 2026-02-10 11:10:22,134 jina_scraper Scraping article 3/17: https://lent.az/storage/news/2026/february/08/small/6988cf3ec8a1c6988cf3ec8a1d17705736306988cf3ec8a1a6988cf3ec8a1b.webp
INFO 2026-02-10 11:10:22,135 jina_scraper Scraping URL via Jina AI: https://lent.az/storage/news/2026/february/08/small/6988cf3ec8a1c6988cf3ec8a1d17705736306988cf3ec8a1a6988cf3ec8a1b.webp
INFO 2026-02-10 11:10:24,783 jina_scraper Scraping article 4/17: https://lent.az/storage/news/2026/february/08/small/6988d49fdae6f6988d49fdae7017705750076988d49fdae6d6988d49fdae6e.webp
INFO 2026-02-10 11:10:24,784 jina_scraper Scraping URL via Jina AI: https://lent.az/storage/news/2026/february/08/small/6988d49fdae6f6988d49fdae7017705750076988d49fdae6d6988d49fdae6e.webp
INFO 2026-02-10 11:10:27,764 jina_scraper Scraping article 5/17: https://lent.az/storage/news/2026/february/07/small/6987417d756726987417d7567317704718056987417d7566f6987417d75670.webp
INFO 2026-02-10 11:10:27,765 jina_scraper Scraping URL via Jina AI: https://lent.az/storage/news/2026/february/07/small/6987417d756726987417d7567317704718056987417d7566f6987417d75670.webp
INFO 2026-02-10 11:10:30,558 jina_scraper Scraping article 6/17: https://lent.az/storage/news/2026/february/08/small/6988cfea394dd6988cfea394de17705738026988cfea394cc6988cfea394dc.webp
INFO 2026-02-10 11:10:30,559 jina_scraper Scraping URL via Jina AI: https://lent.az/storage/news/2026/february/08/small/6988cfea394dd6988cfea394de17705738026988cfea394cc6988cfea394dc.webp
INFO 2026-02-10 11:10:32,718 jina_scraper Scraping article 7/17: https://lent.az/xeber-lenti
INFO 2026-02-10 11:10:32,719 jina_scraper Scraping URL via Jina AI: https://lent.az/xeber-lenti
INFO 2026-02-10 11:10:40,286 jina_scraper Scraping article 8/17: https://lent.az/storage/news/2026/february/09/middle/6989ce9bc23ca6989ce9bc23cb17706390036989ce9bc23c86989ce9bc23c9.webp
INFO 2026-02-10 11:10:40,287 jina_scraper Scraping URL via Jina AI: https://lent.az/storage/news/2026/february/09/middle/6989ce9bc23ca6989ce9bc23cb17706390036989ce9bc23c86989ce9bc23c9.webp
INFO 2026-02-10 11:10:44,475 jina_scraper Scraping article 9/17: https://lent.az/storage/news/2026/february/09/middle/6989de328a0ac6989de328a0ad17706429946989de328a0a86989de328a0aa.webp
INFO 2026-02-10 11:10:44,476 jina_scraper Scraping URL via Jina AI: https://lent.az/storage/news/2026/february/09/middle/6989de328a0ac6989de328a0ad17706429946989de328a0a86989de328a0aa.webp
INFO 2026-02-10 11:10:47,147 jina_scraper Scraping article 10/17: https://lent.az/storage/news/2026/february/07/middle/69874955d069869874955d0699177047381369874955d069669874955d0697.webp
INFO 2026-02-10 11:10:47,148 jina_scraper Scraping URL via Jina AI: https://lent.az/storage/news/2026/february/07/middle/69874955d069869874955d0699177047381369874955d069669874955d0697.webp
INFO 2026-02-10 11:10:51,036 jina_scraper Scraping article 11/17: https://lent.az/storage/news/2026/february/06/middle/6985acd80c46e6985acd80c46f17703682166985acd80c46c6985acd80c46d.webp
INFO 2026-02-10 11:10:51,036 jina_scraper Scraping URL via Jina AI: https://lent.az/storage/news/2026/february/06/middle/6985acd80c46e6985acd80c46f17703682166985acd80c46c6985acd80c46d.webp
INFO 2026-02-10 11:10:55,165 jina_scraper Scraping article 12/17: https://lent.az/storage/news/2026/february/05/middle/698465e9968dc698465e9968dd1770284521698465e9968da698465e9968db.webp
INFO 2026-02-10 11:10:55,166 jina_scraper Scraping URL via Jina AI: https://lent.az/storage/news/2026/february/05/middle/698465e9968dc698465e9968dd1770284521698465e9968da698465e9968db.webp
INFO 2026-02-10 11:10:57,733 jina_scraper Scraping article 13/17: https://lent.az/storage/news/2026/february/09/middle/6989798fab8926989798fab89317706172316989798fab8906989798fab891.webp
INFO 2026-02-10 11:10:57,734 jina_scraper Scraping URL via Jina AI: https://lent.az/storage/news/2026/february/09/middle/6989798fab8926989798fab89317706172316989798fab8906989798fab891.webp
INFO 2026-02-10 11:11:00,892 jina_scraper Scraping article 14/17: https://lent.az/texno
INFO 2026-02-10 11:11:00,893 jina_scraper Scraping URL via Jina AI: https://lent.az/texno
INFO 2026-02-10 11:11:08,255 jina_scraper Scraping article 15/17: https://lent.az/storage/news/2026/february/03/middle/698213e22b2e4698213e22b2e51770132450698213e22b2e0698213e22b2e2.webp
INFO 2026-02-10 11:11:08,256 jina_scraper Scraping URL via Jina AI: https://lent.az/storage/news/2026/february/03/middle/698213e22b2e4698213e22b2e51770132450698213e22b2e0698213e22b2e2.webp
INFO 2026-02-10 11:11:10,825 jina_scraper Scraping article 16/17: https://lent.az/storage/news/2026/february/09/middle/698994be7cf98698994be7cf991770624190698994be7cf94698994be7cf96.webp
INFO 2026-02-10 11:11:10,825 jina_scraper Scraping URL via Jina AI: https://lent.az/storage/news/2026/february/09/middle/698994be7cf98698994be7cf991770624190698994be7cf94698994be7cf96.webp
INFO 2026-02-10 11:11:13,373 jina_scraper Scraping article 17/17: https://lent.az/storage/news/2026/february/07/middle/6986e58c488ac6986e58c488ad17704482686986e58c488aa6986e58c488ab.webp
INFO 2026-02-10 11:11:13,374 jina_scraper Scraping URL via Jina AI: https://lent.az/storage/news/2026/february/07/middle/6986e58c488ac6986e58c488ad17704482686986e58c488aa6986e58c488ab.webp
INFO 2026-02-10 11:11:16,220 jina_scraper Successfully scraped 17 articles from https://lent.az/
INFO 2026-02-10 11:11:16,243 tasks Created article 1: Title: 698ac4120f2d9698ac4120f2da1770701842698ac4120f2d7698a
INFO 2026-02-10 11:11:16,259 tasks Created article 2: Title: 698ac4120f2d9698ac4120f2da1770701842698ac4120f2d7698a
INFO 2026-02-10 11:11:16,277 tasks Created article 3: Title: 6988cf3ec8a1c6988cf3ec8a1d17705736306988cf3ec8a1a6988
INFO 2026-02-10 11:11:16,295 tasks Created article 4: Title: 6988d49fdae6f6988d49fdae7017705750076988d49fdae6d6988
INFO 2026-02-10 11:11:16,311 tasks Created article 5: Title: 6987417d756726987417d7567317704718056987417d7566f6987
INFO 2026-02-10 11:11:16,329 tasks Created article 6: Title: 6988cfea394dd6988cfea394de17705738026988cfea394cc6988
INFO 2026-02-10 11:11:16,403 tasks Created article 8: Title: 6989ce9bc23ca6989ce9bc23cb17706390036989ce9bc23c86989
INFO 2026-02-10 11:11:16,419 tasks Created article 9: Title: 6989de328a0ac6989de328a0ad17706429946989de328a0a86989
INFO 2026-02-10 11:11:16,438 tasks Created article 10: Title: 69874955d069869874955d0699177047381369874955d06966987
